PacketCounter,Acc_X,Acc_Y,Acc_Z
16256,0.211813,0.093582,9.550238
16257,0.015887,0.183609,9.755000
16258,-0.032616,0.199289,10.040848
16259,-0.058399,0.135812,10.014657
16260,0.111743,0.193349,9.722296
16261,0.186654,0.155735,9.894380
16262,0.335833,0.150933,9.893046
16263,0.285486,0.124404,9.639886
16264,0.138957,0.202543,9.504341
16265,-0.053769,0.217648,9.845973
16266,-0.031777,0.159853,9.896295
16267,0.014338,0.152633,9.818872
16268,0.062378,0.147251,9.872918
16269,0.135555,0.154470,9.894870
16270,0.208717,0.168727,9.807927
16271,0.012558,0.193876,9.668791
16272,-0.036363,0.223327,9.736869
16273,0.084589,0.204686,9.953686
16274,0.128678,0.113446,9.804750
16275,0.321668,0.093122,9.517754
16276,0.444149,0.067650,9.657586
16277,0.297358,0.131499,9.739762
16278,0.172516,0.245882,9.880116
16279,-0.050153,0.336145,10.084669
16280,-0.078857,0.259151,10.090214
16281,0.110282,0.124726,9.718714
16282,0.155365,0.036313,9.515325
16283,0.105849,0.026231,9.493054
16284,0.201525,0.031755,9.515102
16285,0.102330,0.134623,9.632578
16286,-0.023971,0.167372,9.832384
16287,-0.053072,0.250875,9.904159
16288,0.086714,0.213570,10.076263
16289,0.130940,0.225583,10.044298
16290,0.052836,0.197265,9.845348
16291,-0.070192,0.204627,9.922672
16292,0.027806,0.193894,9.713994
16293,-0.044874,0.174929,9.669056
16294,-0.165882,0.217700,9.705268
16295,-0.094158,0.229673,9.804690
16296,0.144912,0.141900,9.863885
16297,0.287777,0.095766,9.827795
16298,0.310625,0.146646,9.700437
16299,0.114112,0.192559,9.868143
16300,-0.057247,0.265317,9.972013
16301,-0.206369,0.245279,9.981400
16302,-0.159009,0.180041,10.086205
16303,-0.009887,0.141208,9.941333
16304,-0.030051,0.105715,9.796604
16305,0.074108,0.146186,9.777944
16306,0.177914,0.141816,9.777646
16307,0.185289,0.246949,9.654399
16308,0.364793,0.367890,9.707182
16309,0.690579,0.508358,9.618407
16310,1.356889,0.821043,9.377006
16311,2.634725,1.102150,9.961347
16312,4.823485,0.890525,10.813303
16313,9.155425,0.358917,9.944670
16314,13.457310,-0.149690,9.976797
16315,18.753133,-0.205111,9.773917
16316,22.476099,-0.936673,13.252659
16317,23.903174,-0.911100,10.552462
16318,25.086377,-1.137328,8.377940
16319,24.358763,-0.865824,7.231874
16320,20.196978,-0.167144,7.311595
16321,11.404176,1.284277,8.604243
16322,3.282467,2.617763,8.486780
16323,-1.212054,2.848552,10.142867
16324,-3.884987,3.225144,10.715170
16325,-6.298819,3.558061,10.476118
16326,-9.648965,4.056001,11.354653
16327,-12.522585,4.304110,11.645241
16328,-12.933633,3.762263,10.773318
16329,-13.338617,3.231748,9.246700
16330,-13.391423,2.467006,7.712899
16331,-12.653787,1.980124,7.035465
16332,-11.232249,1.710012,6.489435
16333,-10.188507,1.842021,7.027031
16334,-10.408711,2.655652,8.884362
16335,-9.782425,3.132758,10.072065
16336,-7.992267,3.194140,10.481996
16337,-6.171860,2.721317,11.053970
16338,-4.745826,2.303236,10.587003
16339,-3.044670,1.898237,9.820834
16340,-2.069981,1.363659,10.226855
16341,-3.337582,1.496375,10.531169
16342,-2.724378,1.542557,11.190181
16343,-1.658507,1.428417,10.319123
16344,-1.674491,0.777725,10.103029
16345,-2.144077,0.924974,9.612540
16346,-1.406646,0.640302,9.544073
16347,-0.268419,0.603876,9.867158
16348,0.702168,0.476968,9.936648
16349,1.233856,0.172398,9.126616
16350,1.509953,-0.122344,9.254566
16351,1.397410,-0.324124,8.950562
16352,0.339705,-0.422963,8.547965
16353,-0.417843,-0.160809,8.811068
16354,-0.954481,0.175543,10.195056
16355,-1.349275,0.276153,10.270975
16356,-0.810173,0.132192,9.779760
16357,-0.253819,0.004337,9.671728
16358,0.286946,-0.116556,9.747304
16359,0.930077,-0.091172,9.854694
16360,0.784359,0.086193,10.379521
16361,0.957432,0.169094,10.792013
16362,0.532485,0.036386,10.448908
16363,0.310831,-0.148005,9.632583
16364,0.530623,-0.357817,9.475041
16365,0.835596,-0.314348,9.898173
16366,0.648171,-0.194492,9.840796
16367,0.381831,-0.168149,9.489817
16368,0.281424,-0.014009,9.852301
16369,0.282041,0.014992,10.238059
16370,0.296807,-0.030364,9.774644
16371,0.139065,0.014599,9.470901
16372,0.056126,0.128331,9.655541
16373,-0.009985,0.215172,9.925545
16374,0.066836,0.220276,9.905586
16375,0.183633,0.136069,9.856643
16376,0.493524,-0.052312,9.779555
16377,0.788264,-0.091895,9.496297
16378,0.724975,-0.110480,9.592854
16379,0.595938,-0.099289,9.745482
16380,0.897066,-0.319540,9.972557
16381,0.558955,-0.322523,9.671122
16382,0.381089,-0.408461,9.473960
16383,0.206470,-0.287511,9.470102
16384,-0.012401,-0.013279,9.950296
16385,-0.485355,0.415722,10.244161
16386,-0.778552,0.618813,10.368380
16387,-1.412482,0.853229,10.678645
16388,-2.956777,1.383313,10.642044
16389,-4.718021,1.666202,11.558817
16390,-10.391283,2.393796,10.792323
16391,-13.832284,3.491720,14.042938
16392,-16.719140,4.226660,12.177112
16393,-19.785738,4.440097,9.613507
16394,-21.025896,4.618322,8.420002
16395,-21.595200,4.676530,10.009940
16396,-20.055219,4.563324,9.377179
16397,-17.200446,3.905909,6.792321
16398,-13.690481,4.066188,4.292886
16399,-9.535499,4.281247,4.874784
16400,-5.729969,4.753692,6.461448
16401,-2.491256,4.975673,7.693891
16402,3.304278,5.355424,9.299882
16403,10.330982,5.605570,10.483459
16404,15.388371,5.020982,12.863926
16405,17.873974,3.570295,14.699753
16406,18.249313,2.531662,13.227244
16407,19.182509,0.828199,12.590815
16408,19.176761,-1.219141,11.979555
16409,17.727476,-1.974161,9.869093
16410,15.453544,-2.221834,8.345886
16411,12.948539,-2.160715,6.208830
16412,11.496953,-2.673086,6.147771
16413,17.885934,-4.084670,10.462950
16414,11.211560,-1.811420,12.538155
16415,3.868881,0.232384,4.540779
16416,5.125989,-0.991949,6.769170
16417,3.193032,-0.637209,10.243020
16418,-0.855433,0.395327,10.769700
16419,-3.191535,0.634042,11.043892
16420,-2.753276,0.819208,11.962438
16421,-1.970032,0.977388,12.351732
16422,-1.326308,0.775050,11.245054
16423,-1.394685,0.655930,10.049845
16424,-1.246838,0.512408,9.425486
16425,-0.529640,0.292195,9.110216
16426,-0.013620,0.195970,8.921638
16427,-0.108613,0.305887,9.374786
16428,-0.336142,0.369405,9.949757
16429,-0.026244,0.294611,10.244638
16430,-0.343754,0.449702,10.091121
16431,-0.237924,0.517204,9.820081
16432,-0.284977,0.309599,9.945159
16433,0.316558,0.246158,9.286954
16434,0.871259,0.006567,8.750403
16435,0.868226,-0.014727,9.043917
16436,0.789070,-0.043445,9.289839
16437,0.397894,-0.011236,9.353906
16438,-0.319375,0.046619,9.615863
16439,-0.799305,0.115592,10.085245
16440,-0.923516,0.202753,10.208498
16441,-1.014067,0.294374,10.092620
16442,-0.892925,0.213597,9.860223
16443,-0.726529,0.147984,9.620433
16444,-0.924963,0.102449,9.838870
16445,-0.872247,0.105947,9.908466
16446,-0.580679,0.042768,10.005637
16447,-0.179112,-0.040864,9.876793
16448,-0.007091,-0.022653,9.758425
16449,-0.042103,-0.215084,9.639365
16450,-0.130831,-0.192238,9.990104
16451,-0.200506,-0.336183,10.301055
16452,-0.036476,-0.384291,10.007265
16453,-0.224820,-0.417778,9.389497
16454,-0.237224,-0.348019,9.440524
16455,-0.264201,-0.385905,9.687864
16456,-0.241622,-0.340675,9.462878
16457,0.023691,-0.180110,9.459359
16458,-0.175356,0.000311,10.173063
16459,-0.396828,0.066321,10.070837
16460,-0.698531,0.060511,10.046417
16461,-0.514856,0.045463,10.184377
16462,-0.355105,-0.085040,10.154765
16463,-0.070619,-0.106989,9.613703
16464,0.030798,-0.289109,8.948619
16465,0.046301,-0.275398,9.071367
16466,-0.117940,-0.197831,9.536716
16467,0.193102,-0.061452,9.484105
16468,0.113405,-0.170927,9.601539
16469,-0.468431,-0.090210,9.627323
16470,-0.464831,-0.180311,10.023837
16471,-0.182742,-0.171314,10.121352
16472,-0.281408,-0.140725,9.716244
16473,0.070226,-0.052967,9.211159
16474,0.296316,-0.147839,9.450482
16475,-0.109717,-0.190966,9.674213
16476,-0.123379,-0.267589,9.884630
16477,-0.252616,-0.261973,10.221530
16478,-0.624232,-0.121630,10.016267
16479,-0.305443,-0.142439,10.101388
16480,-0.222515,-0.086598,10.055433
16481,-0.562386,-0.166606,10.035095
16482,-0.411878,-0.182300,10.301712
16483,-0.168974,-0.111121,10.119192
16484,-0.347412,-0.137766,10.078210
16485,-0.109257,0.013923,9.552631
16486,-0.028654,-0.173434,9.488977
16487,-0.287143,-0.261790,9.395790
16488,-0.672702,-0.277935,9.616792
16489,-0.414151,-0.112647,9.475926
16490,-0.011309,-0.100551,10.089887
16491,0.235788,-0.014556,9.951280
16492,0.381225,-0.034810,9.721799
16493,0.451628,-0.087320,9.530933
16494,0.395663,-0.156328,9.478140
16495,-0.101254,-0.150129,9.742465
16496,-0.423737,-0.062257,10.052704
16497,-0.283260,-0.061777,9.946206
16498,-0.119346,-0.107062,9.725561
16499,-0.150467,-0.135242,9.578976
16500,-0.313604,-0.248225,9.594715
16501,-0.375234,-0.287474,9.687312
16502,-0.484396,-0.237723,10.008472
16503,-0.512548,-0.119630,10.251850
16504,-0.506636,-0.040252,10.118374
16505,-0.119199,-0.160980,10.028229
16506,-0.019796,-0.240973,9.977885
16507,-0.184184,-0.267054,9.937047
16508,-0.103304,-0.260609,10.038698
16509,-0.062463,-0.183552,10.037326
16510,-0.022905,-0.188798,9.883455
16511,0.037354,-0.277770,9.577448
16512,-0.099117,-0.295352,9.560909
16513,-0.181498,-0.179052,9.989737
16514,-0.045610,-0.186969,10.199905
16515,0.029790,-0.143654,9.689367
16516,0.151011,-0.074221,9.479277
16517,0.164588,-0.070637,9.633388
16518,-0.070865,-0.105239,9.340190
16519,-0.362340,-0.102204,9.347469
16520,-0.024728,-0.128531,9.688855
16521,0.066346,-0.136403,10.315090
16522,-0.045366,-0.012400,9.283968
16523,0.144425,-0.040053,9.470590
16524,0.012327,-0.047417,9.918451
16525,-0.044910,-0.052007,9.895200
16526,0.016269,-0.102787,9.989584
16527,-0.036988,-0.092666,10.012126
16528,-0.014172,-0.102620,9.857932
16529,0.184777,-0.075126,9.634225
16530,0.104446,-0.135461,9.604379
16531,-0.027301,-0.207410,9.528136
16532,-0.100559,-0.112905,9.702729
16533,0.059947,-0.134734,9.967174
16534,0.157030,-0.114427,9.905663
16535,0.163650,-0.062658,9.626248
16536,0.155456,-0.130381,9.728351
16537,-0.298918,-0.226218,9.927799
16538,-0.572651,-0.211218,9.901610
16539,-0.510430,-0.227104,10.087688
16540,-0.318689,-0.198317,10.073238
16541,-0.147840,-0.202800,9.966929
16542,0.000631,-0.280608,9.653683
16543,0.006200,-0.284648,9.576445
16544,-0.228360,-0.154116,9.949282
16545,-0.323917,-0.131452,10.202741
16546,-0.152097,-0.200000,9.989740
16547,0.053225,-0.171779,9.766685
16548,0.138057,-0.109561,9.819702
16549,0.177870,-0.031664,9.972278
16550,-0.102774,-0.041037,9.877939
16551,-0.094068,-0.090115,9.817415
16552,0.054147,-0.190892,9.719954
16553,0.160179,-0.181457,9.557715
