PacketCounter,Acc_X,Acc_Y,Acc_Z
63880,0.164773,0.027715,9.783576
63881,0.148262,0.035277,9.793067
63882,0.171466,0.025128,9.796476
63883,0.166971,0.037966,9.799940
63884,0.170801,0.023656,9.796492
63885,0.154094,0.031097,9.805987
63886,0.156581,0.024365,9.770716
63887,0.150863,0.017358,9.789645
63888,0.146531,0.030389,9.793109
63889,0.158645,0.035076,9.787086
63890,0.148711,0.041469,9.809477
63891,0.164836,0.032364,9.799996
63892,0.161936,0.019224,9.783644
63893,0.157380,0.032139,9.787116
63894,0.157059,0.031379,9.787124
63895,0.147225,0.037739,9.809515
63896,0.144392,0.024590,9.793157
63897,0.156352,0.029214,9.787142
63898,0.162860,0.027254,9.800045
63899,0.150439,0.021106,9.806070
63900,0.158214,0.039288,9.803528
63901,0.162124,0.024929,9.800063
63902,0.157740,0.037867,9.803541
63903,0.150633,0.038505,9.790652
63904,0.150382,0.037797,9.790658
63905,0.168037,0.021026,9.812981
63906,0.154003,0.022603,9.787196
63907,0.153665,0.021882,9.787203
63908,0.149194,0.034742,9.790688
63909,0.165468,0.025580,9.781201
63910,0.143422,0.026554,9.809608
63911,0.148487,0.032279,9.790707
63912,0.155072,0.030251,9.803610
63913,0.162918,0.048420,9.801090
63914,0.147846,0.029801,9.790725
63915,0.164137,0.020605,9.781235
63916,0.147242,0.028112,9.790739
63917,0.152397,0.033860,9.771841
63918,0.171401,0.037114,9.778736
63919,0.141414,0.019225,9.809654
63920,0.154730,0.044076,9.788241
63921,0.151624,0.030895,9.771863
63922,0.164769,0.027592,9.797669
63923,0.141134,0.036270,9.794275
63924,0.128833,0.030182,9.800280
63925,0.143543,0.047175,9.810677
63926,0.151651,0.019294,9.803691
63927,0.156937,0.025121,9.784797
63928,0.169227,0.029639,9.778800
63929,0.163720,0.022224,9.797700
63930,0.159246,0.035014,9.801207
63931,0.139917,0.030147,9.794313
63932,0.152024,0.034743,9.788321
63933,0.146350,0.027426,9.807221
63934,0.158244,0.031942,9.801234
63935,0.144327,0.033635,9.775444
63936,0.145528,0.025291,9.807239
63937,0.153410,0.043618,9.804757
63938,0.146326,0.044192,9.791865
63939,0.143333,0.031139,9.775467
63940,0.169170,0.033154,9.795277
63941,0.137719,0.023000,9.794364
63942,0.149696,0.027765,9.788379
63943,0.161711,0.032222,9.782396
63944,0.145067,0.039690,9.791903
63945,0.140927,0.006445,9.790870
63946,0.136300,0.019169,9.794392
63947,0.157687,0.034846,9.817726
63948,0.160323,0.028251,9.782431
63949,0.143703,0.035808,9.791939
63950,0.166642,0.025770,9.795342
63951,0.147216,0.021011,9.788433
63952,0.152287,0.045033,9.821277
63953,0.142698,0.033177,9.791962
63954,2.079643,-1.316769,9.984449
63955,1.171568,-1.955367,9.382072
63956,0.430384,2.005233,10.197220
63957,1.843349,1.501037,9.737183
63958,5.714833,0.301617,9.569626
63959,9.632577,0.526225,9.693445
63960,12.089260,-1.756902,9.848028
63961,11.118014,-1.427782,9.397908
63962,12.909780,0.005912,9.691254
63963,14.468673,1.779871,10.516359
63964,12.758874,5.400925,10.313331
63965,5.515009,-5.982352,10.875062
63966,6.033291,-2.339174,11.475216
63967,-0.115099,0.841650,9.482213
63968,-7.114316,-0.218986,11.443073
63969,-9.858195,0.047589,11.629478
63970,-10.648265,0.823728,10.083791
63971,-1.865262,0.399874,9.597416
63972,1.073626,0.871726,9.612375
63973,5.042623,2.706088,10.718339
63974,-18.242247,-1.451477,10.673356
63975,-24.892886,-0.987413,10.789173
63976,-3.090488,0.800822,9.867871
63977,-0.018428,0.601178,9.773353
63978,0.237836,0.285360,9.737486
63979,0.167663,0.108927,9.752249
63980,0.188006,0.178028,9.827743
63981,0.168018,0.195469,9.805336
63982,0.169068,0.167955,9.785686
63983,0.171635,0.185936,9.770141
63984,0.166289,0.171258,9.820982
63985,0.164616,0.170557,9.821022
63986,0.168656,0.176084,9.802114
63987,0.198335,0.163054,9.818538
63988,0.192759,0.190184,9.758238
63989,0.179104,0.157113,9.811703
