PacketCounter,Acc_X,Acc_Y,Acc_Z
11847,0.212277,-0.203931,9.830826
11848,0.177698,-0.131704,9.896219
11849,0.237618,-0.160291,9.857241
11850,0.222058,-0.148412,9.761789
11851,0.220808,-0.203962,9.754248
11852,0.201116,-0.218802,9.705314
11853,0.209012,-0.168788,9.760616
11854,0.188378,-0.132610,9.843560
11855,0.211706,-0.214410,9.652811
11856,0.173383,-0.168490,9.764677
11857,0.206094,-0.127935,9.838815
11858,0.187462,-0.115179,9.867776
11859,0.201394,-0.196043,9.753822
11860,0.171640,-0.206814,9.781598
11861,0.202452,-0.059034,9.846418
11862,0.257336,-0.083515,9.783772
11863,0.193634,-0.129029,9.737544
11864,0.208261,-0.139722,9.833095
11865,0.203545,-0.134479,9.809264
11866,0.168211,-0.118614,9.866965
11867,0.210181,-0.109271,9.786564
11868,0.190901,-0.124607,9.737656
11869,0.180932,-0.123411,9.814257
11870,0.209423,-0.109342,9.786579
11871,0.176773,-0.120076,9.790386
11872,0.219230,-0.141432,9.780470
11873,0.180223,-0.122690,9.814279
11874,0.193554,-0.126934,9.761569
11875,0.164634,-0.141190,9.789250
11876,0.182856,-0.095169,9.767691
11877,0.199617,-0.102866,9.738867
11878,0.195353,-0.130354,9.785486
11879,0.187055,-0.122391,9.737758
11880,0.192017,-0.101303,9.839410
11881,0.185933,-0.118655,9.737826
11882,0.194776,-0.101252,9.863346
11883,0.204182,-0.102251,9.786767
11884,0.178808,-0.088390,9.767830
11885,0.196362,-0.127730,9.809500
11886,0.192209,-0.124732,9.785621
11887,0.197609,-0.153052,9.755677
11888,0.184494,-0.092074,9.815658
11889,0.189644,-0.117999,9.785755
11890,0.113543,-0.103842,9.799450
11891,0.112705,-0.101553,9.799483
11892,0.219666,-0.099920,9.782100
11893,0.176326,-0.075673,9.791964
11894,0.073622,-0.101643,9.779488
11895,0.162542,-0.091156,9.790944
11896,0.241736,-0.047995,9.808411
11897,0.206720,-0.109755,9.805160
11898,0.180952,-0.094134,9.786178
11899,0.243309,-0.015742,9.761787
11900,0.248409,-0.076702,9.802530
11901,0.274622,-0.036916,9.828629
11902,0.205326,-0.054914,9.812303
11903,0.186047,-0.070498,9.763415
11904,0.174320,-0.092483,9.762318
11905,0.114288,-0.063107,9.800852
11906,0.189345,-0.075386,9.787309
11907,0.196897,-0.082840,9.835094
11908,0.168044,-0.066719,9.792174
11909,0.189504,-0.079917,9.787270
11910,0.203334,-0.086656,9.734571
11911,0.189691,-0.083891,9.787233
11912,0.156872,-0.095860,9.790992
11913,0.177952,-0.108050,9.786090
11914,0.193214,-0.090755,9.811099
11915,0.183487,-0.059304,9.817113
11916,0.052921,-0.071034,9.761621
11917,0.239853,-0.087806,9.754619
11918,0.211010,-0.101617,9.782273
11919,0.152945,-0.097285,9.767055
11920,0.150393,-0.070406,9.820881
11921,0.182853,-0.059342,9.817125
11922,0.225109,-0.081496,9.807340
11923,0.269109,-0.050410,9.804708
11924,0.188454,-0.091469,9.787189
11925,0.178893,-0.061324,9.793204
11926,0.148408,-0.100088,9.743115
11927,0.127040,-0.090723,9.748004
11928,0.221028,-0.088752,9.783365
11929,0.203397,-0.082372,9.812151
11930,0.203368,-0.084433,9.812134
11931,0.167110,-0.094482,9.791962
11932,0.167448,-0.097556,9.791926
11933,0.184828,-0.107938,9.763096
11934,0.184670,-0.110137,9.763074
11935,0.192282,-0.086431,9.740368
11936,0.176589,-0.135987,9.785766
11937,0.162614,-0.099361,9.768007
11938,0.214035,-0.073578,9.813240
11939,0.202454,-0.095585,9.812051
11940,0.165874,-0.104066,9.791886
11941,0.173667,-0.081295,9.769174
11942,0.177817,-0.087655,9.793024
11943,0.174418,-0.087702,9.769105
11944,0.057380,-0.135982,9.731277
11945,0.104703,-0.106993,9.752659
11946,0.215047,-0.109130,9.759289
11947,0.228642,-0.087369,9.784451
11948,0.186863,-0.087076,9.740467
11949,0.119944,-0.056689,9.879568
11950,0.196655,-0.093420,9.812190
11951,0.159852,-0.100469,9.792023
11952,0.265485,-0.076538,9.828652
11953,0.081036,-0.087022,9.781642
11954,0.274985,-0.111354,9.822537
11955,0.213249,-0.105318,9.783373
11956,0.137881,-0.094547,9.796889
11957,0.220487,-0.082150,9.760683
11958,0.227842,-0.089302,9.808455
11959,0.283401,-0.115887,9.745974
11960,0.188421,-0.070122,9.842174
11961,0.220897,-0.060708,9.838472
11962,0.168896,-0.088239,9.793176
11963,0.199811,-0.103134,9.711679
11964,0.189663,-0.104176,9.788226
11965,0.170398,-0.119287,9.739235
11966,0.127880,-0.095297,9.749080
11967,-0.036169,-0.064279,9.828802
11968,-0.028710,-0.070150,9.876578
11969,-0.138083,-0.092855,9.815988
11970,-0.334298,-0.125278,9.767675
11971,-0.835042,-0.057807,9.881199
11972,-0.539870,-0.048371,9.786754
11973,-0.997467,-0.086856,9.829234
11974,-1.219443,-0.082658,9.815993
11975,-1.192630,0.039925,9.755763
11976,-1.578815,-0.288981,9.771450
11977,-1.855558,-0.161987,9.960202
11978,-2.268669,-0.134998,9.782318
11979,-2.643836,-0.111010,9.773016
11980,-3.103254,-0.234116,9.730537
11981,-3.360499,-0.053501,9.774342
11982,-3.553826,-0.316198,9.743083
11983,-3.762849,-0.130610,9.753944
11984,-4.116129,-0.396965,9.896697
11985,-3.489520,-0.165520,9.804665
11986,-3.523051,-0.313113,9.863790
11987,-3.489325,-0.201202,9.650140
11988,-4.059328,0.138684,9.941770
11989,-3.340998,-0.052532,9.598614
11990,-3.068276,-0.130567,9.866840
11991,-2.092135,-0.321496,9.704772
11992,-2.472553,-0.105460,9.818361
11993,-2.943919,-0.466200,10.011859
11994,-2.963473,-0.428297,9.691718
11995,-2.769150,-0.637592,9.898841
11996,-1.327758,0.962280,9.631240
11997,-1.226604,0.116094,9.914160
11998,-1.477598,0.200291,9.787140
11999,-2.667322,-0.806722,10.043349
12000,-0.208391,-0.418351,9.372855
12001,-1.222430,-0.570228,10.000126
12002,-1.270932,0.923671,9.914746
12003,-0.114095,0.171765,10.155713
12004,-0.862127,-0.379176,9.813176
12005,1.435569,0.226925,9.773929
12006,1.079260,-0.210586,9.764423
12007,2.123069,0.357722,9.678545
12008,2.325784,0.403804,9.651345
12009,3.798032,0.515903,9.576394
