PacketCounter,Acc_X,Acc_Y,Acc_Z
15579,-0.227286,-0.063869,9.905477
15580,-0.147798,-0.051869,9.974955
15581,-0.113938,-0.034619,10.010218
15582,-0.160080,-0.079258,9.944392
15583,-0.186180,-0.064360,9.915864
15584,-0.154006,-0.074568,9.820157
15585,-0.126032,-0.088063,9.748133
15586,-0.043410,-0.107269,9.787285
15587,0.032213,-0.071936,9.757308
15588,0.010863,-0.081757,9.751503
15589,-0.075522,-0.066085,9.736073
15590,-0.044071,-0.081081,9.841463
15591,-0.125240,-0.036033,9.856466
15592,-0.143814,-0.041205,9.826939
15593,-0.123293,-0.030557,9.832745
15594,-0.155145,-0.017331,9.827899
15595,-0.150631,-0.067425,9.796469
15596,-0.178807,-0.047623,9.667369
15597,-0.197220,-0.005346,9.769887
15598,-0.081703,-0.084829,9.782509
15599,-0.086925,-0.003351,9.767496
15600,-0.084730,-0.080118,9.782523
15601,-0.019457,-0.026178,9.954689
15602,-0.074104,0.003294,9.998111
15603,-0.068462,-0.040130,9.842454
15604,-0.103693,-0.049647,9.682841
15605,-0.142493,-0.065593,9.647501
15606,-0.165304,-0.048971,9.695769
15607,-0.082921,-0.036909,9.765509
15608,-0.021329,0.019692,9.837128
15609,-0.065566,-0.001922,9.926014
15610,-0.073709,-0.001948,9.849096
15611,-0.167746,-0.041749,9.748761
15612,-0.131996,-0.079711,9.776487
15613,-0.182877,-0.102519,9.788403
15614,-0.142858,-0.082458,9.800090
15615,-0.273899,-0.087157,9.772440
15616,-0.257228,-0.073965,9.677638
15617,-0.163369,-0.088039,9.847291
15618,-0.107199,-0.035809,9.942717
15619,-0.180140,-0.039818,9.902149
15620,-0.155543,-0.026634,9.884356
15621,-0.097742,-0.000004,9.925749
15622,-0.056709,-0.005403,9.883461
15623,0.113989,0.076786,9.830210
15624,0.199603,0.036776,9.792105
15625,0.177135,0.049104,9.863925
15626,0.331612,0.090048,9.951655
15627,0.142604,-0.000127,9.898476
15628,0.396760,0.065621,9.783848
15629,0.276541,0.025703,9.903103
15630,0.545086,0.021725,9.655221
15631,0.553375,-0.002556,9.577137
15632,0.604322,-0.037133,9.657944
15633,0.511721,-0.009493,9.945054
15634,0.487213,0.032304,10.047744
15635,0.524448,-0.005241,10.152743
15636,0.522604,0.025111,10.082941
15637,0.428488,0.004628,10.137362
15638,0.417282,0.047795,10.192514
15639,0.412518,0.038660,10.216199
15640,0.366187,-0.044959,10.220155
15641,0.379955,-0.071255,10.118393
15642,0.392553,-0.076918,10.094368
15643,0.472852,-0.125725,9.901502
15644,0.342828,-0.084510,9.727705
15645,0.279337,-0.127598,9.757009
15646,0.341309,-0.118616,9.945786
15647,0.368044,-0.064774,9.982985
15648,0.543209,-0.159306,10.028457
15649,0.678809,-0.208655,9.845012
15650,0.605177,-0.243544,9.596033
15651,0.659752,-0.277502,9.474247
15652,0.560931,-0.223398,9.461367
15653,0.314448,-0.206022,9.439403
15654,0.281370,-0.158143,9.691559
15655,0.240289,-0.130608,9.788898
15656,0.085694,-0.124757,9.835067
15657,0.029960,-0.157264,9.894595
15658,0.009645,-0.069850,9.952846
15659,0.124765,-0.115448,10.042746
15660,0.240476,-0.159101,10.031701
15661,0.353874,-0.216787,9.740939
15662,0.465768,-0.283675,9.573802
15663,0.455070,-0.278221,9.544829
15664,0.458726,-0.274643,9.669555
15665,0.617931,-0.316728,9.892611
15666,0.637614,-0.291819,9.798197
15667,0.590165,-0.265196,9.641444
15668,0.544065,-0.267621,9.530628
15669,0.369861,-0.267965,9.395959
15670,0.355851,-0.288557,9.413509
15671,0.600660,-0.314497,9.579020
15672,0.728168,-0.275583,9.658655
15673,0.557922,-0.269202,9.578069
15674,0.228362,-0.215983,9.424880
15675,0.255078,-0.283827,9.669161
15676,0.272357,-0.239056,9.778272
15677,0.198452,-0.293431,9.654226
15678,0.409129,-0.340706,9.557768
15679,0.403202,-0.305975,9.334706
15680,0.395697,-0.422728,9.363502
15681,0.378920,-0.394684,9.538583
15682,0.557889,-0.374408,9.797575
15683,0.382350,-0.265410,9.832006
15684,0.328944,-0.218564,9.903547
15685,0.408541,-0.243754,9.862112
15686,0.396268,-0.256702,9.856390
15687,0.667152,-0.322789,9.866317
15688,0.912890,-0.332057,9.678534
15689,0.945350,-0.443930,9.436693
15690,0.784101,-0.371929,9.290777
15691,0.882300,-0.362197,9.231321
15692,0.922342,-0.297927,9.548203
15693,0.887993,-0.275747,9.772047
15694,0.769980,-0.327628,9.895205
15695,0.527689,-0.252362,9.814817
15696,0.417891,-0.361586,9.678064
15697,0.287530,-0.386852,9.399834
15698,0.263607,-0.357523,9.522799
15699,0.236739,-0.390196,9.760850
15700,0.170689,-0.283664,9.737544
15701,0.093094,-0.280200,9.672584
15702,0.103137,-0.247392,9.626960
15703,0.213701,-0.295851,9.711199
15704,0.362452,-0.430741,9.739140
15705,0.451291,-0.490456,9.568125
15706,0.204995,-0.490938,9.551303
15707,0.126357,-0.404539,9.474156
15708,0.206549,-0.251847,9.531746
15709,0.119659,-0.144842,9.830922
15710,-0.361697,-0.191101,10.197257
15711,-0.581974,0.159110,10.262317
15712,0.172502,0.059265,11.077999
15713,-0.167293,0.221401,11.371393
15714,-0.313983,0.069709,11.325271
15715,-0.375072,0.082687,10.715345
15716,-0.262826,0.094159,10.134728
15717,0.316538,-0.070033,9.731866
15718,0.671483,-0.055314,9.766736
15719,1.035040,-0.343770,9.535102
15720,0.967821,-0.343789,9.498615
15721,0.729297,-0.384558,9.353281
15722,0.898404,-0.374013,9.156581
15723,0.880294,-0.247918,9.071977
15724,0.677794,-0.180346,9.074700
15725,0.481100,-0.245751,9.209778
15726,0.191085,-0.115319,9.757886
15727,0.198643,-0.096074,9.989361
15728,0.049602,-0.178278,10.254737
15729,-0.243469,0.021794,10.008746
15730,-0.366030,-0.230725,9.927729
15731,-0.254318,-0.124991,9.736354
15732,0.246585,-0.320849,9.895929
15733,0.630492,-0.165380,10.034988
15734,0.740601,-0.259923,9.818839
15735,0.756809,-0.298263,9.844889
15736,0.769415,-0.258065,10.155930
15737,0.501327,-0.301286,10.204934
