PacketCounter,Acc_X,Acc_Y,Acc_Z
37579,9.691748,-0.049329,1.612910
37580,9.674642,-0.062599,1.639542
37581,9.721844,-0.058545,1.627273
37582,9.745454,-0.056646,1.621083
37583,9.769068,-0.054831,1.614858
37584,9.745143,-0.079940,1.610351
37585,9.722264,-0.038618,1.637232
37586,9.674781,-0.066036,1.638584
37587,9.685609,-0.043884,1.590103
37588,9.662430,-0.024849,1.606248
37589,9.698393,-0.065307,1.632337
37590,9.715241,-0.075253,1.594636
37591,9.739222,-0.051508,1.598805
37592,9.722057,-0.064689,1.625771
37593,9.732902,-0.042459,1.577204
37594,9.692179,-0.058030,1.610028
37595,9.692586,-0.036486,1.620210
37596,9.668662,-0.061541,1.615605
37597,9.715830,-0.057578,1.603534
37598,9.722270,-0.068510,1.624341
37599,9.669217,-0.041599,1.624886
37600,9.675645,-0.052407,1.645781
37601,9.763209,-0.055346,1.590108
37602,9.746444,-0.046354,1.627397
37603,9.716169,-0.061156,1.601347
37604,9.722553,-0.071929,1.622494
37605,9.716232,-0.062493,1.600914
37606,9.709943,-0.052891,1.579140
37607,9.669594,-0.046294,1.622511
37608,9.716765,-0.042186,1.610413
37609,9.723190,-0.053035,1.631319
37610,9.693273,-0.045803,1.615861
37611,9.716877,-0.043932,1.609690
37612,9.753225,-0.062470,1.646006
37613,9.692979,-0.069389,1.604756
37614,9.693411,-0.048024,1.614966
37615,9.710649,-0.036025,1.587518
37616,9.699473,-0.081412,1.625179
37617,9.717489,-0.025415,1.618776
37618,9.693556,-0.050567,1.614019
37619,9.699960,-0.061487,1.635040
37620,9.723556,-0.059797,1.628905
37621,9.716831,-0.072200,1.596863
37622,9.717294,-0.050635,1.606977
37623,9.706505,-0.074105,1.655152
37624,9.687393,-0.043931,1.591414
37625,9.717360,-0.052234,1.606525
37626,9.710624,-0.064695,1.574503
37627,9.717436,-0.053597,1.606021
37628,9.741052,-0.051780,1.599763
37629,9.724329,-0.043012,1.637057
37630,9.700811,-0.046065,1.642692
37631,9.694060,-0.058447,1.610724
37632,9.694104,-0.059111,1.610435
37633,9.664215,-0.051826,1.594828
37634,9.647085,-0.065017,1.621588
37635,9.724233,-0.068795,1.624500
37636,9.825372,-0.048319,1.631966
37637,9.831810,-0.059307,1.652777
37638,9.724374,-0.070801,1.623569
37639,9.664930,-0.033685,1.603477
37640,9.681712,-0.043700,1.565672
37641,9.647341,-0.069507,1.619880
37642,9.688134,-0.055153,1.586549
37643,9.724475,-0.074028,1.622822
37644,9.748515,-0.050382,1.627140
37645,9.694660,-0.067611,1.606745
37646,9.695139,-0.046261,1.617004
37647,9.701522,-0.057055,1.638139
37648,9.718759,-0.044877,1.610706
37649,9.702067,-0.036165,1.648030
37650,9.694844,-0.070588,1.605506
37651,9.718893,-0.046950,1.609837
37652,9.724878,-0.080067,1.620121
37653,9.718992,-0.048423,1.609197
37654,9.695482,-0.051582,1.614785
37655,9.725500,-0.060343,1.629536
37656,9.736812,-0.015940,1.591474
37657,9.718739,-0.073193,1.597335
37658,9.719235,-0.051775,1.607625
37659,9.695279,-0.076775,1.602595
37660,9.702635,-0.043554,1.644505
37661,9.719440,-0.053546,1.606329
37662,9.701830,-0.088773,1.622641
37663,9.719965,-0.032706,1.616478
37664,9.719541,-0.055540,1.605645
37665,9.720022,-0.034116,1.616108
37666,9.696036,-0.059074,1.611201
37667,9.719637,-0.057231,1.605008
37668,9.696550,-0.038267,1.621464
37669,9.702958,-0.049225,1.642436
37670,9.696184,-0.061629,1.610213
37671,9.719799,-0.059995,1.603925
37672,9.713934,-0.028261,1.593098
37673,9.703156,-0.051937,1.641180
37674,9.696344,-0.064011,1.609156
37675,9.703249,-0.052950,1.640602
37676,9.696453,-0.065227,1.608455
37677,9.702873,-0.076191,1.629335
37678,9.696492,-0.066445,1.608169
37679,9.696522,-0.067220,1.607951
37680,9.750574,-0.051435,1.627408
37681,9.720679,-0.044005,1.611910
37682,9.696677,-0.068998,1.606944
37683,9.727155,-0.055772,1.632440
37684,9.713922,-0.057814,1.579402
37685,9.673657,-0.051482,1.623118
37686,9.710507,-0.048588,1.669832
37687,9.720904,-0.048260,1.610432
37688,9.696888,-0.073259,1.605478
37689,9.714572,-0.039151,1.588969
37690,9.727361,-0.060474,1.631045
37691,9.703847,-0.063331,1.636690
37692,9.727461,-0.061491,1.630409
37693,9.697588,-0.053996,1.614800
37694,9.691253,-0.044254,1.593369
37695,9.704502,-0.043637,1.646351
37696,9.691288,-0.045364,1.593127
37697,9.721792,-0.032098,1.618590
37698,9.697749,-0.057033,1.613729
37699,9.704669,-0.046168,1.645298
37700,9.721409,-0.055976,1.607129
37701,9.721941,-0.034652,1.617643
37702,9.697887,-0.059519,1.612804
37703,9.721496,-0.057758,1.606543
37704,9.698471,-0.038860,1.623012
37705,9.698000,-0.061472,1.612051
37706,9.715752,-0.027395,1.595306
37707,9.698619,-0.040892,1.622079
37708,9.722210,-0.039086,1.615926
37709,9.751659,-0.069825,1.620205
37710,9.698186,-0.064758,1.610805
37711,9.728132,-0.073364,1.625909
37712,9.715430,-0.053362,1.583302
37713,9.698848,-0.044960,1.620601
37714,9.715542,-0.054712,1.582571
37715,9.722480,-0.043917,1.614180
37716,9.697892,-0.090806,1.598506
37717,9.722569,-0.045320,1.613605
37718,9.705448,-0.058746,1.640294
37719,9.715751,-0.058020,1.581167
37720,9.699122,-0.049449,1.618828
37721,9.675640,-0.052301,1.624305
37722,9.496914,0.303420,2.956876
37723,9.698810,-0.338386,1.699153
37724,9.914445,-0.154788,0.416556
37725,9.751738,0.027181,1.358769
37726,9.706439,-0.019638,1.662107
37727,9.698891,-0.074138,1.606150
37728,9.736402,-0.050824,1.663171
37729,9.714206,-0.014410,1.488078
37730,9.749580,0.077945,1.469950
37731,9.692339,-0.065029,1.586036
