PacketCounter,Acc_X,Acc_Y,Acc_Z
37254,9.814361,-0.196974,-0.248903
37255,9.844803,-0.206138,-0.269316
37256,9.828087,-0.257903,-0.245503
37257,9.806428,-0.236075,-0.263704
37258,9.832848,-0.188701,-0.272873
37259,9.794721,-0.215311,-0.261122
37260,9.862671,-0.194848,-0.210737
37261,9.819500,-0.148035,-0.242894
37262,9.840974,-0.169938,-0.232889
37263,9.842418,-0.187456,-0.268343
37264,9.839647,-0.151912,-0.296550
37265,9.841991,-0.189633,-0.282103
37266,9.844801,-0.226168,-0.348039
37267,9.831529,-0.189765,-0.316224
37268,9.842885,-0.211011,-0.329020
37269,9.851322,-0.196844,-0.282158
37270,9.782903,-0.216665,-0.338802
37271,9.851052,-0.197424,-0.291030
37272,9.830705,-0.192322,-0.339429
37273,9.842088,-0.212384,-0.351226
37274,9.840569,-0.194803,-0.324945
37275,9.809970,-0.188163,-0.312845
37276,9.857986,-0.163877,-0.308002
37277,9.828720,-0.175661,-0.326694
37278,9.840082,-0.196646,-0.338320
37279,9.800640,-0.205897,-0.378580
37280,9.848655,-0.182135,-0.373507
37281,9.819394,-0.194235,-0.390595
37282,9.810521,-0.211571,-0.362416
37283,9.839667,-0.201937,-0.347130
37284,9.828198,-0.183373,-0.337961
37285,9.848537,-0.189130,-0.373147
37286,9.845891,-0.156185,-0.312769
37287,9.820647,-0.224004,-0.335432
37288,9.821892,-0.245403,-0.284593
37289,9.830650,-0.231031,-0.315149
37290,9.839387,-0.215783,-0.346741
37291,9.817657,-0.193248,-0.363613
37292,9.829055,-0.213573,-0.372851
37293,9.830310,-0.231275,-0.403129
37294,9.858245,-0.202437,-0.357869
37295,9.817667,-0.193128,-0.363416
37296,9.845592,-0.165187,-0.317515
37297,9.835453,-0.165312,-0.258211
37298,9.820217,-0.233685,-0.341358
37299,9.830266,-0.237900,-0.321932
37300,9.851768,-0.261331,-0.310961
37301,9.830001,-0.238104,-0.329791
37302,9.837424,-0.203100,-0.334239
37303,9.828313,-0.216155,-0.390512
37304,9.835741,-0.180339,-0.394148
37305,9.825648,-0.177531,-0.339393
37306,9.865852,-0.184853,-0.417611
37307,9.807597,-0.207440,-0.369855
