PacketCounter,Acc_X,Acc_Y,Acc_Z
58115,9.805355,-0.101424,0.788565
58116,9.806257,-0.120788,0.767260
58117,9.784172,-0.148127,0.807334
58118,9.807382,-0.137172,0.860642
58119,9.805004,-0.114219,0.903133
58120,9.809574,-0.158516,0.934762
58121,9.800438,-0.116257,0.866142
58122,9.809625,-0.130951,0.817913
58123,9.797098,-0.126582,0.809325
58124,9.810066,-0.133167,0.812243
58125,9.800745,-0.154860,0.862558
58126,9.813639,-0.116574,0.871695
58127,9.805414,-0.145541,0.904514
58128,9.796138,-0.137556,0.836593
58129,9.805605,-0.107504,0.788596
58130,9.819146,-0.112656,0.784674
58131,9.800258,-0.126930,0.770057
58132,9.812298,-0.116909,0.795539
58133,9.818873,-0.142507,0.793181
58134,9.820026,-0.116616,0.772998
58135,9.806131,-0.138931,0.786801
58136,9.818316,-0.136425,0.805242
58137,9.804145,-0.115041,0.827834
58138,9.811467,-0.113910,0.810536
58139,9.812433,-0.132483,0.787207
58140,9.797357,-0.139454,0.826166
58141,9.803725,-0.121388,0.831892
58142,9.811150,-0.119763,0.813516
58143,9.798701,-0.124377,0.798139
58144,9.823863,-0.129283,0.819119
58145,9.796136,-0.130687,0.851056
58146,9.809935,-0.145521,0.838369
58147,9.805599,-0.145440,0.796421
58148,9.806118,-0.101214,0.796480
58149,9.820819,-0.131833,0.760374
58150,9.795163,-0.122288,0.750246
58151,9.812864,-0.129861,0.790981
58152,9.810220,-0.134083,0.846618
58153,9.811309,-0.151230,0.821100
58154,9.800260,-0.126930,0.782883
58155,9.822865,-0.119538,0.722038
58156,9.808910,-0.141888,0.736385
58157,9.832348,-0.121087,0.797933
58158,9.816973,-0.127870,0.841394
58159,9.799336,-0.179667,0.929035
58160,9.806104,-0.187438,0.788129
58161,9.818787,-0.162548,0.663949
58162,9.827397,-0.090577,0.047374
58163,10.016272,-0.040043,0.064034
58164,11.787979,0.952526,0.347877
58165,16.050937,0.164594,0.788172
58166,19.046674,-0.459609,1.058039
58167,21.009684,-0.006286,1.014930
58168,20.624487,0.426397,1.067283
