PacketCounter,Acc_X,Acc_Y,Acc_Z
60937,9.835545,-0.179760,0.347247
60938,9.841117,-0.170184,0.329057
60939,9.852745,-0.158121,0.340959
60940,9.835684,-0.160267,0.360911
60941,9.832600,-0.162955,0.346854
60942,9.847151,-0.171301,0.357950
60943,9.856091,-0.139448,0.364262
60944,9.811909,-0.186030,0.284198
60945,9.814973,-0.188014,0.296506
60946,9.823889,-0.207143,0.327030
60947,9.832739,-0.173716,0.337568
60948,9.850319,-0.179338,0.364813
60949,9.833036,-0.151543,0.349266
60950,9.836220,-0.151647,0.359833
60951,9.841633,-0.167193,0.323921
60952,9.832589,-0.226108,0.294132
60953,9.831024,-0.192046,0.342906
60954,9.822268,-0.174319,0.304535
60955,9.851216,-0.160125,0.287538
60956,9.845157,-0.164488,0.249824
60957,9.842123,-0.169616,0.227960
60958,9.810450,-0.239385,0.238028
60959,9.827654,-0.217179,0.232895
60960,9.825671,-0.201216,0.281603
60961,9.834581,-0.164740,0.295673
60962,9.851791,-0.140333,0.291186
60963,9.860063,-0.151597,0.274805
60964,9.851059,-0.186627,0.265232
60965,9.804220,-0.216644,0.237503
60966,9.830674,-0.187929,0.283063
60967,9.854212,-0.138530,0.328263
60968,9.842938,-0.158145,0.369993
60969,9.845210,-0.150872,0.341970
60970,9.844506,-0.196497,0.318151
60971,9.853360,-0.164398,0.329805
60972,9.827954,-0.156331,0.367163
60973,9.830334,-0.200800,0.357376
60974,9.847590,-0.178996,0.351344
60975,9.835879,-0.191853,0.339567
60976,9.830019,-0.172195,0.323845
60977,9.850340,-0.146958,0.333872
60978,9.838833,-0.188316,0.358751
60979,9.856317,-0.143369,0.368090
60980,9.856295,-0.144181,0.368372
60981,9.821461,-0.163136,0.345623
60982,9.849861,-0.174090,0.323558
60983,9.847023,-0.157066,0.322480
60984,9.820914,-0.195272,0.334077
60985,9.823807,-0.196679,0.352061
60986,9.820886,-0.177507,0.354742
60987,9.829423,-0.167019,0.354770
60988,9.846330,-0.167774,0.337886
60989,9.828845,-0.193153,0.346858
60990,9.825544,-0.196963,0.338220
60991,9.825690,-0.205153,0.392067
60992,9.828248,-0.175208,0.382314
60993,9.845637,-0.160694,0.430466
60994,9.819542,-0.175170,0.458663
60995,9.830362,-0.179808,0.416097
60996,9.847830,-0.166466,0.460076
60997,9.829685,-0.206083,0.410324
60998,9.821162,-0.196919,0.428178
60999,9.830066,-0.193541,0.471955
61000,9.846915,-0.187114,0.406843
61001,9.829784,-0.190003,0.425113
61002,9.806649,-0.194848,0.415781
61003,9.832382,-0.211499,0.428065
61004,9.828591,-0.189563,0.279222
61005,9.781357,0.089380,0.160715
61006,9.942804,-0.029228,-0.447866
61007,9.755042,0.088873,-0.228372
61008,11.262381,0.583545,0.847842
61009,21.366361,0.222212,1.298963
61010,25.265364,-1.933758,0.775842
61011,26.068579,-2.327876,0.415412
61012,22.847188,-1.599604,0.595300
61013,20.021853,-1.394168,0.054259
61014,17.554424,-0.812491,0.458532
61015,14.684729,-0.215819,1.110319
61016,12.410927,0.707897,1.994269
