PacketCounter,Acc_X,Acc_Y,Acc_Z
43845,9.819618,-0.204813,0.742327
43846,9.822659,-0.225003,0.803709
43847,9.829959,-0.187184,0.817840
43848,9.803929,-0.217428,0.776688
43849,9.780880,-0.281374,0.650029
43850,9.838707,-0.149904,0.667979
43851,9.802245,-0.258407,0.645828
43852,9.808182,-0.240399,0.675483
43853,9.817420,-0.240209,0.763294
43854,9.825315,-0.259401,0.864623
43855,9.803290,-0.229860,0.781162
43856,9.838739,-0.216727,0.760543
43857,9.809299,-0.226871,0.662493
43858,9.800401,-0.287292,0.663660
43859,9.777459,-0.333453,0.683357
43860,9.801787,-0.250193,0.797049
43861,9.815275,-0.187172,0.839775
43862,9.829308,-0.197123,0.823314
43863,9.851054,-0.168521,0.816602
43864,9.832946,-0.156612,0.783256
43865,9.802739,-0.259048,0.638020
43866,9.783075,-0.267863,0.619709
43867,9.810823,-0.221078,0.641549
43868,9.788038,-0.267480,0.659945
43869,9.829268,-0.232806,0.672082
43870,9.815053,-0.219541,0.692859
43871,9.868455,-0.144644,0.761404
43872,9.820595,-0.200476,0.728440
43873,9.806478,-0.190420,0.746406
43874,9.810556,-0.208216,0.649429
43875,9.801178,-0.271473,0.656571
43876,9.779292,-0.226469,0.718376
43877,9.849129,-0.287677,0.635798
43878,9.820054,-0.194715,0.879552
43879,9.832968,-0.137591,0.927391
43880,9.771709,-0.326653,0.797315
43881,9.800811,-0.260817,0.805603
43882,9.799638,-0.280093,0.817382
43883,9.796644,-0.260376,0.756915
43884,9.818455,-0.231646,0.749774
43885,9.809216,-0.230984,0.662300
43886,9.806557,-0.268118,0.690679
43887,9.830635,-0.200476,0.660639
43888,9.836474,-0.179456,0.692682
43889,9.831617,-0.166003,0.797867
43890,9.828442,-0.207039,0.831188
43891,9.822162,-0.229827,0.805083
43892,9.802207,-0.239643,0.791747
43893,9.804003,-0.294487,0.718646
43894,9.766816,-0.271115,0.664882
43895,9.835709,-0.189689,0.700762
43896,9.812500,-0.236431,0.722816
43897,9.813201,-0.145539,0.769995
43898,9.796395,-0.245009,0.762495
43899,9.808778,-0.277124,0.762723
43900,9.828470,-0.196806,0.830831
43901,9.816506,-0.236516,0.773402
43902,9.818281,-0.216860,0.754482
43903,9.789365,-0.211232,0.796098
43904,9.789941,-0.283397,0.735861
43905,9.825619,-0.268116,0.713237
43906,9.811953,-0.254500,0.726159
43907,9.792280,-0.247214,0.855837
43908,9.848445,-0.148975,0.749483
43909,9.807074,-0.257721,0.685108
43910,9.800561,-0.207627,0.715484
43911,9.778956,-0.308563,0.666438
43912,9.810780,-0.261871,0.739259
43913,9.810001,-0.190083,0.801951
43914,9.799059,-0.269476,0.823855
43915,9.813796,-0.191517,0.853485
43916,9.846017,-0.218359,0.866573
43917,9.785946,-0.243002,0.830928
43918,9.793834,-0.277971,0.786451
43919,9.786355,-0.318638,0.771914
43920,9.795492,-0.259382,0.769315
43921,9.823126,-0.212042,0.793679
43922,9.798496,-0.220357,0.739554
43923,9.818414,-0.213835,0.752417
43924,9.802933,-0.221307,0.783535
43925,9.818583,-0.271413,0.838427
43926,9.825162,-0.248378,0.861317
43927,9.778174,-0.300603,0.818120
43928,9.815415,-0.266138,0.780294
43929,9.817204,-0.246560,0.761316
43930,9.812795,-0.247138,0.715185
43931,9.782440,-0.260432,0.772332
43932,9.797910,-0.252900,0.740126
43933,9.788906,-0.238330,0.796707
43934,9.811923,-0.190414,0.777994
43935,9.819772,-0.222224,0.733218
43936,9.827467,-0.182447,0.744650
43937,9.787403,-0.198370,0.720344
43938,9.815023,-0.225646,0.690015
43939,9.816185,-0.208459,0.678367
43940,9.724950,-0.100892,0.819235
43941,9.835677,-0.199802,0.698400
43942,9.792663,-0.322406,0.652999
43943,9.850339,-0.172786,0.822500
43944,9.825488,-0.237454,0.860683
43945,9.848454,-0.248830,0.931727
43946,9.815184,-0.301937,1.017512
43947,9.807389,-0.360733,1.007877
43948,9.850955,-0.324728,0.997055
43949,10.012094,-0.593679,0.862385
43950,10.102031,-0.849430,0.810843
43951,11.970040,-0.216571,0.700967
43952,13.397122,-0.507291,-0.402952
43953,12.754157,-0.641438,0.812025
43954,12.181122,-0.884264,1.165312
43955,13.101210,-0.724550,0.888793
43956,14.822913,-1.343875,0.028531
43957,17.202738,-0.997435,-0.563239
43958,18.100629,-0.379494,0.255202
43959,18.059664,-0.867849,0.093024
43960,18.329598,-0.831049,0.252828
43961,19.338340,-0.418841,0.305555
43962,19.844954,-0.166349,0.038908
43963,19.570781,0.000530,-0.004003
43964,18.743618,0.437349,0.247010
43965,17.247635,0.387357,0.241296
43966,15.947396,0.103234,0.177746
43967,14.958376,0.268255,0.353130
43968,14.311841,0.611164,0.505507
43969,13.363791,0.852874,0.783132
43970,11.932573,0.911930,1.120087
43971,10.964089,1.043328,1.412089
43972,10.726491,1.360100,1.443053
43973,11.038101,1.300706,0.878077
43974,11.080564,1.198433,0.180033
43975,9.729147,0.572979,0.105996
43976,8.399260,0.320526,0.071387
43977,7.599884,0.513074,0.267398
43978,7.101488,0.983904,0.616638
43979,6.562489,0.925204,0.584529
43980,6.114713,0.969008,0.586405
43981,5.960282,0.930171,0.157856
43982,6.883781,0.771042,-0.562458
43983,8.019120,0.467365,-2.359636
43984,7.211077,-0.248440,-2.507224
43985,6.789410,-0.488414,-2.610903
43986,6.781294,-0.085218,-2.399531
43987,6.366466,0.438077,-1.363766
43988,5.653082,0.697263,-1.065315
43989,4.628414,0.912550,-0.409962
43990,4.154678,1.454336,-0.136153
43991,4.091262,1.413750,-0.504278
43992,4.494794,1.247732,-1.487068
43993,4.375587,1.168003,-2.021386
43994,4.349214,1.190795,-2.095488
43995,4.604673,1.435137,-2.365147
43996,4.432261,1.418470,-2.242747
43997,4.271193,1.741606,-2.162466
43998,4.292678,2.149217,-2.228108
43999,4.340796,2.144521,-2.486980
44000,4.319970,2.127080,-2.657931
44001,3.895804,1.941125,-2.771958
44002,3.991444,1.715840,-2.902895
44003,4.510142,2.011751,-2.967777
44004,5.037900,2.205876,-3.047762
44005,5.043994,1.843223,-3.306156
